"t_imprimir" "x_imprimir"
"1" 0 1
"2" 6.36110595660863 2
"3" 7.67420091498833 3
"4" 8.36478895044437 4
"5" 8.96832414862569 5
"6" 13.0833505458913 6
"7" 17.1270010377355 7
"8" 18.1885101833792 8
"9" 20.2013261647917 9
"10" 20.4010550121712 10
"11" 20.9600067576575 11
"12" 21.4334264506643 12
"13" 21.900313583928 13
"14" 22.068141688454 14
"15" 22.3156852805567 15
"16" 22.3405501752737 16
"17" 22.9581049944103 17
"18" 23.4842693269676 18
"19" 23.5476600679452 19
"20" 24.1955264149552 20
"21" 24.2096330907451 21
"22" 25.485441147855 22
"23" 26.0604515289392 23
"24" 26.167617766907 24
"25" 26.7426649935969 25
"26" 27.5366664997465 26
"27" 27.5510734635218 27
"28" 27.7506461870538 28
"29" 27.7687230162965 29
"30" 27.8637048039088 30
"31" 28.2352163502171 31
"32" 29.1899752387551 32
"33" 30.1440544135331 33
